74	18487	15.48	1.73	20.59	11.2
78	333	31.18	0.25	35.95	0.8
81	233	31.95	0.10	34.84	0.3
85	244	26.95	1.13	31.06	4.2
89	767	29.43	1.78	34.13	6.1
92	393	32.07	1.60	37.64	5.0
96	33	23.45	2.78	28.27	11.9
107	201872	14.37	2.88	22.22	20.0
114	121121	15.26	3.07	23.28	20.1
118	17	54.52	6.51	70.72	11.9
121	322	27.40	0.53	30.02	2.0
125	43881	16.64	3.29	24.92	19.8
129	1501	28.05	3.14	35.14	11.2
13	48848	22.63	4.31	32.20	19.1
132	445560	62.32	8.82	79.29	14.2
136	247	32.78	0.59	36.84	1.8
143	103207	13.90	2.72	21.38	19.6
147	138	25.99	0.30	29.26	1.2
150	72	43.44	1.71	49.37	3.9
154	147	35.64	2.92	42.82	8.2
158	76042	16.84	3.38	25.24	20.1
161	425555	15.65	3.15	24.11	20.1
165	315	29.41	0.76	32.79	2.6
169	277	26.65	0.56	30.21	2.1
17	913	24.67	2.09	29.41	8.5
172	10	63.13	2.92	78.06	4.6
176	2	39.75	25.00	66.75	62.9
183	59	31.19	0.42	34.53	1.3
187	1	23.46	4.99	29.95	21.3
190	98	23.31	3.39	29.66	14.5
194	244	54.82	9.86	75.28	18.0
198	257	25.87	3.06	32.38	11.8
20	114	28.46	1.64	33.21	5.8
202	268	26.60	3.32	33.19	12.5
206	14	48.32	0.36	62.82	0.7
213	553	30.96	0.47	35.89	1.5
217	277	22.49	2.40	27.52	10.7
220	339	30.12	1.53	35.51	5.1
224	12424	15.88	2.93	23.63	18.5
228	478	32.47	3.44	40.09	10.6
231	121431	18.20	3.43	26.63	18.8
235	467	39.15	0.24	43.84	0.6
239	259277	13.95	2.91	21.71	20.8
24	24778	15.83	2.89	22.58	18.3
242	476	27.56	0.32	30.60	1.1
246	142755	15.80	3.10	23.96	19.6
253	26	56.32	5.11	67.44	9.1
257	163	29.73	3.73	37.38	12.6
260	1607	28.74	3.42	36.37	11.9
264	98903	23.97	4.33	34.54	18.1
28	1034	51.25	6.86	64.48	13.4
31	45	47.35	6.51	58.42	13.7
35	550	28.66	0.42	31.26	1.5
39	928	40.43	0.92	45.42	2.3
4	10912	16.89	3.15	24.86	18.6
42	7423	16.87	1.40	21.11	8.3
46	10	40.22	1.10	44.73	2.7
53	117	36.68	2.38	44.21	6.5
57	15	37.48	2.90	44.09	7.7
60	147	28.23	0.44	31.95	1.5
64	67	37.96	2.70	44.50	7.1
68	231237	16.32	3.14	24.50	19.3
71	361	26.92	0.50	29.46	1.9
75	55403	15.05	2.26	21.19	15.0
79	231231	15.22	3.02	23.17	19.8
8	34	58.53	9.75	77.15	16.7
82	1103	35.76	4.17	44.94	11.7
86	311	48.91	0.07	53.07	0.1
93	2393	60.39	9.87	78.47	16.3
97	3188	21.88	2.85	27.87	13.0
